description,iSIC_code,naf_code
"Residential care activities for mental retardation, mental health and substance abuse",872,87.2
"Residential care activities for mental retardation, mental health and substance abuse",8720,87.20
Residential care activities for the elderly and disabled,873,87.3
Residential care activities for the elderly and disabled,8730,87.30
Other residential care activities,879,87.9
Other residential care activities,8790,87.90
Social work activities without accommodation,88,88
Social work activities without accommodation for the elderly and disabled,881,88.1
Social work activities without accommodation for the elderly and disabled,8810,88.10
Other social work activities without accommodation,889,88.9
Other social work activities without accommodation,8890,88.99
"Creative, arts and entertainment activities",90,90
"Creative, arts and entertainment activities",900,90.0
"Creative, arts and entertainment activities",9000,90.01
"Libraries, archives, museums and other cultural activities",91,91
"Libraries, archives, museums and other cultural activities",910,91.0
Library and archives activities,9101,91.01
Museums activities and operation of historical sites and buildings,9102,91.02
Botanical and zoological gardens and nature reserves activities,9103,91.04
Gambling and betting activities,92,92
Gambling and betting activities,920,92.0
Gambling and betting activities,9200,92.00
Sports activities and amusement and recreation activities,93,93
Sports activities,931,93.1
Operation of sports facilities,9311,93.11
Activities of sports clubs,9312,93.12
Other sports activities,9319,93.19
Other amusement and recreation activities,932,93.2
Activities of amusement parks and theme parks,9321,93.21
Other amusement and recreation activities n.e.c.,9329,93.29
Activities of membership organizations,94,94
"Activities of business, employers and professional membership organizations",941,94.1
Activities of business and employers membership organizations,9411,94.11
Activities of professional membership organizations,9412,94.12
Activities of trade unions,942,94.2
Activities of trade unions,9420,94.20
Activities of other membership organizations,949,94.9
Activities of religious organizations,9491,94.91
Activities of political organizations,9492,94.92
Activities of other membership organizations n.e.c.,9499,94.99
Repair of computers and personal and household goods,95,95
Repair of computers and communication equipment,951,95.1
Repair of computers and peripheral equipment,9511,95.11
Repair of communication equipment,9512,95.12
Repair of personal and household goods,952,95.2
Repair of consumer electronics,9521,95.21
Repair of household appliances and home and garden equipment,9522,95.22
Repair of footwear and leather goods,9523,95.23
Repair of furniture and home furnishings,9524,95.24
Repair of other personal and household goods,9529,95.29
Other personal service activities,96,96
Other personal service activities,960,96.0
Washing and (dry-) cleaning of textile and fur products,9601,96.01
Hairdressing and other beauty treatment,9602,96.02
Funeral and related activities,9603,96.03
Other personal service activities n.e.c.,9609,96.09
Activities of households as employers of domestic personnel,97,97
Activities of households as employers of domestic personnel,970,97.0
Activities of households as employers of domestic personnel,9700,97.00
Undifferentiated goods- and services-producing activities of private households for own use,98,98
Undifferentiated goods-producing activities of private households for own use,981,98.1
Undifferentiated goods-producing activities of private households for own use,9810,98.10
Undifferentiated service-producing activities of private households for own use,982,98.2
Undifferentiated service-producing activities of private households for own use,9820,98.20
Activities of extraterritorial organizations and bodies,99,99
Activities of extraterritorial organizations and bodies,990,99.0
Activities of extraterritorial organizations and bodies,9900,99.00
"Agriculture, forestry and fishing",A,SECTION A
Mining and quarrying,B,SECTION B
Manufacturing,C,SECTION C
"Electricity, gas, steam and air conditioning supply",D,SECTION D
"Water supply; sewerage, waste management and remediation activities",E,SECTION E
Construction,F,SECTION F
Wholesale and retail trade; repair of motor vehicles and motorcycles,G,SECTION G
Transportation and storage,H,SECTION H
Accommodation and food service activities,I,SECTION I
Information and communication,J,SECTION J
Financial and insurance activities,K,SECTION K
Real estate activities,L,SECTION L
"Professional, scientific and technical activities",M,SECTION M
Administrative and support service activities,N,SECTION N
Public administration and defence; compulsory social security,O,SECTION O
Education,P,SECTION P
Human health and social work activities,Q,SECTION Q
"Arts, entertainment and recreation",R,SECTION R
Other service activities,S,SECTION S
Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,T,SECTION T
Activities of extraterritorial organizations and bodies,U,SECTION U
"Growing of cereals (except rice), leguminous crops and oil seeds",0111,01.11Z
Growing of rice,0112,01.12Z
"Growing of vegetables and melons, roots and tubers",0113,01.13Z
Growing of sugar cane,0114,01.14Z
Growing of tobacco,0115,01.15Z
Growing of fibre crops,0116,01.16Z
Growing of other non-perennial crops,0119,01.19Z
Growing of grapes,0121,01.21Z
Growing of tropical and subtropical fruits,0122,01.22Z
Growing of citrus fruits,0123,01.23Z
Growing of pome fruits and stone fruits,0124,01.24Z
Growing of other tree and bush fruits and nuts,0125,01.25Z
Growing of oleaginous fruits,0126,01.26Z
Growing of beverage crops,0127,01.27Z
"Growing of spices, aromatic, drug and pharmaceutical crops",0128,01.28Z
Growing of other perennial crops,0129,01.29Z
Plant propagation,0130,01.30Z
Raising of cattle and buffaloes,0141,01.41Z
Raising of horses and other equines,0142,01.43Z
Raising of camels and camelids,0143,01.44Z
Raising of sheep and goats,0144,01.45Z
Raising of swine/pigs,0145,01.46Z
Raising of poultry,0146,01.47Z
Raising of other animals,0149,01.49Z
Mixed farming,0150,01.50Z
Support activities for crop production,0161,01.61Z
Support activities for animal production,0162,01.62Z
Post-harvest crop activities,0163,01.63Z
Seed processing for propagation,0164,01.64Z
"Hunting, trapping and related service activities",0170,01.70Z
Silviculture and other forestry activities,0210,02.10Z
Logging,0220,02.20Z
Gathering of non-wood forest products,0230,02.30Z
Support services to forestry,0240,02.40Z
Marine fishing,0311,03.11Z
Freshwater fishing,0312,03.12Z
Marine aquaculture,0321,03.21Z
Freshwater aquaculture,0322,03.22Z
Mining of hard coal,0510,05.10Z
Mining of lignite,0520,05.20Z
Extraction of crude petroleum,0610,06.10Z
Extraction of natural gas,0620,06.20Z
Mining of iron ores,0710,07.10Z
Mining of uranium and thorium ores,0721,07.21Z
Mining of other non-ferrous metal ores,0729,07.29Z
"Quarrying of stone, sand and clay",0810,08.11Z
Mining of chemical and fertilizer minerals,0891,08.91Z
Extraction of peat,0892,08.92Z
Extraction of salt,0893,08.93Z
Other mining and quarrying n.e.c.,0899,08.99Z
Support activities for petroleum and natural gas extraction,0910,09.10Z
Support activities for other mining and quarrying,0990,09.90Z
Processing and preserving of meat,1010,10.11Z
"Processing and preserving of fish, crustaceans and molluscs",1020,10.20Z
Processing and preserving of fruit and vegetables,1030,10.31Z
Manufacture of vegetable and animal oils and fats,1040,10.41A
Manufacture of dairy products,1050,10.51A
Manufacture of grain mill products,1061,10.61A
Manufacture of starches and starch products,1062,10.62Z
Manufacture of bakery products,1071,10.71A
Manufacture of sugar,1072,10.81Z
"Manufacture of cocoa, chocolate and sugar confectionery",1073,10.82Z
Manufacture of other food products n.e.c.,1079,10.84
Manufacture of prepared animal feeds,1080,10.91Z
"Distilling, rectifying and blending of spirits",1101,11.01Z
Manufacture of wines,1102,11.02A
Manufacture of malt liquors and malt,1103,11.05Z
Manufacture of soft drinks; production of mineral waters and other bottled waters,1104,11.07A
Manufacture of tobacco products,1200,12.00Z
Preparation and spinning of textile fibres,1311,13.10Z
Weaving of textiles,1312,13.20Z
Finishing of textiles,1313,13.30Z
Manufacture of other textiles,139,13.99Z
Manufacture of knitted and crocheted fabrics,1391,13.91Z
"Manufacture of made-up textile articles, except apparel",1392,13.92Z
Manufacture of carpets and rugs,1393,13.93Z
"Manufacture of cordage, rope, twine and netting",1394,13.94Z
Manufacture of other textiles n.e.c.,1399,13.99Z
"Manufacture of wearing apparel, except fur apparel",1410,14.11Z
Manufacture of articles of fur,1420,14.20Z
Manufacture of knitted and crocheted apparel,1430,14.31Z
Tanning and dressing of leather; dressing and dyeing of fur,1511,15.11Z
"Manufacture of luggage, handbags and the like, saddlery and harness",1512,15.12Z
Manufacture of footwear,1520,15.20Z
Sawmilling and planing of wood,1610,16.10A
Manufacture of veneer sheets and wood-based panels,1621,16.21Z
Manufacture of builders' carpentry and joinery,1622,16.23Z
Manufacture of wooden containers,1623,16.24Z
"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials",1629,16.29Z
"Manufacture of pulp, paper and paperboard",1701,17.11Z
Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,1702,17.21A
Manufacture of other articles of paper and paperboard,1709,17.22
Printing,1811,18.11Z
Service activities related to printing,1812,18.13Z
Reproduction of recorded media,1820,18.20Z
Manufacture of coke oven products,1910,19.10Z
Manufacture of refined petroleum products,1920,19.20Z
Manufacture of basic chemicals,2011,20.11Z
Manufacture of fertilizers and nitrogen compounds,2012,20.15Z
Manufacture of plastics and synthetic rubber in primary forms,2013,20.16Z
Manufacture of pesticides and other agrochemical products,2021,20.20Z
"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",2022,20.30Z
"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",2023,20.41Z
Manufacture of other chemical products n.e.c.,2029,20.5
Manufacture of man-made fibres,2030,20.60Z
"Manufacture of pharmaceuticals, medicinal chemical and botanical products",2100,21.10Z
Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres,2211,22.11Z
Manufacture of other rubber products,2219,22.19Z
Manufacture of plastics products,2220,22.21Z
Manufacture of other non-metallic mineral products,23,23
Manufacture of glass and glass products,2310,23.11Z
Manufacture of refractory products,2391,23.20Z
Manufacture of other porcelain and ceramic products,2393,23.31Z
"Manufacture of cement, lime and plaster",2394,23.51
"Manufacture of articles of concrete, cement and plaster",2395,23.61
"Cutting, shaping and finishing of stone",2396,23.7
Manufacture of other non-metallic mineral products n.e.c.,2399,23.9
Manufacture of basic iron and steel,2410,24.10Z
Manufacture of basic precious and other non-ferrous metals,2420,24.20Z
Casting of metals,243,24.31
Casting of iron and steel,2431,24.51Z
Casting of non-ferrous metals,2432,24.54Z
Manufacture of structural metal products,2511,25.11Z
"Manufacture of tanks, reservoirs and containers of metal",2512,25.29Z
"Manufacture of steam generators, except central heating hot water boilers",2513,25.3
Manufacture of weapons and ammunition,2520,25.40Z
"Forging, pressing, stamping and roll-forming of metal; powder metallurgy",2591,25.50A
Treatment and coating of metals; machining,2592,25.61
"Manufacture of cutlery, hand tools and general hardware",2593,25.71
Manufacture of other fabricated metal products n.e.c.,2599,25.9
Manufacture of electronic components and boards,2610,26.11Z
Manufacture of computers and peripheral equipment,2620,26.20Z
Manufacture of communication equipment,2630,26.30Z
Manufacture of consumer electronics,2640,26.40Z
"Manufacture of measuring, testing, navigating and control equipment",2651,26.51A
Manufacture of watches and clocks,2652,26.52Z
"Manufacture of irradiation, electromedical and electrotherapeutic equipment",2660,26.60Z
Manufacture of optical instruments and photographic equipment,2670,26.70Z
Manufacture of magnetic and optical media,2680,26.80Z
"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",2710,27.11Z
Manufacture of batteries and accumulators,2720,27.20Z
Manufacture of fibre optic cables,2731,27.31Z
Manufacture of other electronic and electric wires and cables,2732,27.32Z
Manufacture of wiring devices,2733,27.33Z
Manufacture of electric lighting equipment,2740,27.40Z
Manufacture of domestic appliances,2750,27.51Z
Manufacture of other electrical equipment,2790,27.90Z
"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",2811,28.11Z
Manufacture of fluid power equipment,2812,28.12Z
"Manufacture of other pumps, compressors, taps and valves",2813,28.13Z
"Manufacture of bearings, gears, gearing and driving elements",2814,28.15Z
"Manufacture of ovens, furnaces and furnace burners",2815,28.21Z
Manufacture of lifting and handling equipment,2816,28.22Z
Manufacture of office machinery and equipment (except computers and peripheral equipment),2817,28.23Z
Manufacture of power-driven hand tools,2818,28.24Z
Manufacture of other general-purpose machinery,2819,28.25
Manufacture of agricultural and forestry machinery,2821,28.30Z
Manufacture of metal-forming machinery and machine tools,2822,28.41Z
Manufacture of machinery for metallurgy,2823,28.91Z
"Manufacture of machinery for mining, quarrying and construction",2824,28.92Z
"Manufacture of machinery for food, beverage and tobacco processing",2825,28.93Z
"Manufacture of machinery for textile, apparel and leather production",2826,28.94Z
Manufacture of other special-purpose machinery,2829,28.95
Manufacture of motor vehicles,2910,29.10Z
Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,2920,29.20Z
Manufacture of parts and accessories for motor vehicles,2930,29.31Z
Building of ships and floating structures,3011,30.11Z
Building of pleasure and sporting boats,3012,30.12Z
Manufacture of railway locomotives and rolling stock,3020,30.20Z
Manufacture of air and spacecraft and related machinery,3030,30.30Z
Manufacture of military fighting vehicles,3040,30.40Z
Manufacture of motorcycles,3091,30.91Z
Manufacture of bicycles and invalid carriages,3092,30.92Z
Manufacture of other transport equipment n.e.c.,3099,30.99Z
Manufacture of furniture,3100,31.01Z
Other manufacturing,32,32
Manufacture of jewellery and related articles,3211,32.12Z
Manufacture of imitation jewellery and related articles,3212,32.13Z
Manufacture of musical instruments,3220,32.20Z
Manufacture of sports goods,3230,32.30Z
Manufacture of games and toys,3240,32.40Z
Manufacture of medical and dental instruments and supplies,3250,32.50A
Other manufacturing n.e.c.,3290,32.91
Repair of fabricated metal products,3311,33.11Z
Repair of machinery,3312,33.12Z
Repair of electronic and optical equipment,3313,33.13Z
Repair of electrical equipment,3314,33.14Z
"Repair of transport equipment, except motor vehicles",3315,33.15Z
Repair of other equipment,3319,33.19Z
Installation of industrial machinery and equipment,3320,33.20A
"Electric power generation, transmission and distribution",3510,35.11Z
Manufacture of gas; distribution of gaseous fuels through mains,3520,35.21Z
Steam and air conditioning supply,3530,35.30Z
"Water collection, treatment and supply",3600,36.00Z
Sewerage,3700,37.00Z
Collection of non-hazardous waste,3811,38.11Z
Collection of hazardous waste,3812,38.12Z
Treatment and disposal of non-hazardous waste,3821,38.21Z
Treatment and disposal of hazardous waste,3822,38.22Z
Materials recovery,3830,38.31Z
Remediation activities and other waste management services,3900,39.00Z
Construction of buildings,4100,41.10A
Construction of roads and railways,4210,42.11Z
Construction of utility projects,4220,42.22
Construction of other civil engineering projects,4290,42.91
Demolition,4311,43.11Z
Site preparation,4312,43.12A
Electrical installation,4321,43.21A
"Plumbing, heat and air-conditioning installation",4322,43.22A
Other construction installation,4329,43.29A
Building completion and finishing,4330,43.31Z
Other specialized construction activities,4390,43.91A
Sale of motor vehicles,4510,45.11Z
Maintenance and repair of motor vehicles,4520,45.20A
Sale of motor vehicle parts and accessories,4530,45.31Z
"Sale, maintenance and repair of motorcycles and related parts and accessories",4540,45.40Z
Wholesale on a fee or contract basis,4610,46.11Z
Wholesale of agricultural raw materials and live animals,4620,46.21Z
"Wholesale of food, beverages and tobacco",4630,46.31Z
"Wholesale of textiles, clothing and footwear",4641,46.41Z
Wholesale of other household goods,4649,46.49Z
"Wholesale of computers, computer peripheral equipment and software",4651,46.51Z
Wholesale of electronic and telecommunications equipment and parts,4652,46.52Z
"Wholesale of agricultural machinery, equipment and supplies",4653,46.61Z
Wholesale of other machinery and equipment,4659,46.6
"Wholesale of solid, liquid and gaseous fuels and related products",4661,46.71Z
Wholesale of metals and metal ores,4662,46.72Z
"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",4663,46.73A
Wholesale of waste and scrap and other products n.e.c.,4669,46.77Z
Non-specialized wholesale trade,4690,46.90Z
"Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711,47.11A
Other retail sale in non-specialized stores,4719,47.19A
Retail sale of food in specialized stores,4721,47.21Z
Retail sale of beverages in specialized stores,4722,47.25Z
Retail sale of tobacco products in specialized stores,4723,47.26Z
Retail sale of automotive fuel in specialized stores,4730,47.30Z
"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores",4741,47.41Z
Retail sale of audio and video equipment in specialized stores,4742,47.43Z
Retail sale of textiles in specialized stores,4751,47.51Z
"Retail sale of hardware, paints and glass in specialized stores",4752,47.52A
"Retail sale of carpets, rugs, wall and floor coverings in specialized stores",4753,47.53Z
"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores",4759,47.54Z
"Retail sale of books, newspapers and stationary in specialized stores",4761,47.61Z
Retail sale of music and video recordings in specialized stores,4762,47.63Z
Retail sale of sporting equipment in specialized stores,4763,47.64Z
Retail sale of games and toys in specialized stores,4764,47.65Z
"Retail sale of clothing, footwear and leather articles in specialized stores",4771,47.71Z
"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores",4772,47.73Z
Other retail sale of new goods in specialized stores,4773,47.78A
Retail sale of second-hand goods,4774,47.79Z
"Retail sale via stalls and markets of food, beverages and tobacco products",4781,47.81Z
"Retail sale via stalls and markets of textiles, clothing and footwear",4782,47.82Z
Retail sale via stalls and markets of other goods,4789,47.89Z
Retail sale via mail order houses or via Internet,4791,47.91A
"Other retail sale not in stores, stalls or markets",4799,47.99A
"Passenger rail transport, interurban",4911,49.10Z
Freight rail transport,4912,49.20Z
Urban and suburban passenger land transport,4921,49.31Z
Other passenger land transport,4922,49.39A
Freight transport by road,4923,49.41A
Transport via pipeline,4930,49.50Z
Sea and coastal passenger water transport,5011,50.10Z
Sea and coastal freight water transport,5012,50.20Z
Inland passenger water transport,5021,50.30Z
Inland freight water transport,5022,50.40Z
Passenger air transport,5110,51.10Z
Freight air transport,5120,51.21Z
Warehousing and storage,5210,52.10A
Service activities incidental to land transportation,5221,52.21Z
Service activities incidental to water transportation,5222,52.22Z
Service activities incidental to air transportation,5223,52.23Z
Cargo handling,5224,52.24A
Other transportation support activities,5229,52.29A
Postal activities,5310,53.10Z
Courier activities,5320,53.20Z
Short term accommodation activities,5510,55.10Z
"Camping grounds, recreational vehicle parks and trailer parks",5520,55.30Z
Other accommodation,5590,55.90Z
Restaurants and mobile food service activities,5610,56.10A
Event catering,5621,56.21Z
Other food service activities,5629,56.29A
Beverage serving activities,5630,56.30Z
Book publishing,5811,58.11Z
Publishing of directories and mailing lists,5812,58.12Z
"Publishing of newspapers, journals and periodicals",5813,58.13Z
Software publishing,5820,58.21Z
"Motion picture, video and television programme production activities",5911,59.11A
"Motion picture, video and television programme post-production activities",5912,59.12Z
"Motion picture, video and television programme distribution activities",5913,59.13A
Motion picture projection activities,5914,59.14Z
Sound recording and music publishing activities,5920,59.20Z
Radio broadcasting,6010,60.10Z
Television programming and broadcasting activities,6020,60.20A
Wired telecommunications activities,6110,61.10Z
Wireless telecommunications activities,6120,61.20Z
Satellite telecommunications activities,6130,61.30Z
Other telecommunications activities,6190,61.90Z
Computer programming activities,6201,62.01Z
Computer consultancy and computer facilities management activities,6202,62.02A
Other information technology and computer service activities,6209,62.09Z
"Data processing, hosting and related activities",6311,63.11Z
Web portals,6312,63.12Z
Other information service activities,639,63.9
News agency activities,6391,63.91Z
Other information service activities n.e.c.,6399,63.99Z
Central banking,6411,64.11Z
Other monetary intermediation,6419,64.19Z
Activities of holding companies,6420,64.20Z
"Trusts, funds and similar financial entities",6430,64.30Z
Financial leasing,6491,64.91Z
Other credit granting,6492,64.92Z
"Other financial service activities, except insurance and pension funding activities, n.e.c.",6499,64.99Z
Life insurance,6511,65.11Z
Non-life insurance,6512,65.12Z
Reinsurance,6520,65.20Z
Pension funding,6530,65.30Z
Administration of financial markets,6611,66.11Z
Security and commodity contracts brokerage,6612,66.12Z
Other activities auxiliary to financial service activities,6619,66.19A
Risk and damage evaluation,6621,66.21Z
Activities of insurance agents and brokers,6622,66.22Z
Other activities auxiliary to insurance and pension funding,6629,66.29Z
Fund management activities,6630,66.30Z
Real estate activities with own or leased property,6810,68.10Z
Real estate activities on a fee or contract basis,6820,68.31Z
Legal activities,6910,69.10Z
"Accounting, bookkeeping and auditing activities; tax consultancy",6920,69.20Z
Activities of head offices,7010,70.10Z
Management consultancy activities,7020,70.21Z
Architectural and engineering activities and related technical consultancy,7110,71.11Z
Technical testing and analysis,7120,71.20A
Research and experimental development on natural sciences and engineering,7210,72.11Z
Research and experimental development on social sciences and humanities,7220,72.20Z
Advertising,7310,73.11Z
Market research and public opinion polling,7320,73.20Z
"Other professional, scientific and technical activities",74,74
Specialized design activities,7410,74.10Z
Photographic activities,7420,74.20Z
"Other professional, scientific and technical activities n.e.c.",7490,74.90A
Veterinary activities,7500,75.00Z
Renting and leasing of motor vehicles,7710,77.11A
Renting and leasing of recreational and sports goods,7721,77.21Z
Renting of video tapes and disks,7722,77.22Z
Renting and leasing of other personal and household goods,7729,77.29Z
"Renting and leasing of other machinery, equipment and tangible goods",7730,77.31
"Leasing of intellectual property and similar products, except copyrighted works",7740,77.40Z
Activities of employment placement agencies,7810,78.10Z
Temporary employment agency activities,7820,78.20Z
Other human resources provision,7830,78.30Z
Travel agency activities,7911,79.11Z
Tour operator activities,7912,79.12Z
Other reservation service and related activities,7990,79.90Z
Private security activities,8010,80.10Z
Security systems service activities,8020,80.20Z
Investigation activities,8030,80.30Z
Combined facilities support activities,8110,81.10Z
General cleaning of buildings,8121,81.21Z
Other building and industrial cleaning activities,8129,81.22Z
Landscape care and maintenance service activities,8130,81.30Z
Combined office administrative service activities,8211,82.11Z
"Photocopying, document preparation and other specialized office support activities",8219,82.19Z
Activities of call centres,8220,82.20Z
Organization of conventions and trade shows,8230,82.30Z
Activities of collection agencies and credit bureaus,8291,82.91Z
Packaging activities,8292,82.92Z
Other business support service activities n.e.c.,8299,82.99Z
General public administration activities,8411,84.11Z
"Regulation of the activities of providing health care, education, cultural services and other social services, excluding social security",8412,84.12Z
Regulation of and contribution to more efficient operation of businesses,8413,84.13Z
Foreign affairs,8421,84.21Z
Defence activities,8422,84.22Z
Public order and safety activities,8423,84.23
Compulsory social security activities,8430,84.30A
Education,85,85
Pre-primary and primary education,8510,85.10Z
General secondary education,8521,85.31Z
Technical and vocational secondary education,8522,85.32Z
Higher education,8530,85.41Z
Sports and recreation education,8541,85.51Z
Cultural education,8542,85.52Z
Other education n.e.c.,8549,85.59A
Educational support activities,8550,85.60Z
Hospital activities,8610,86.10Z
Medical and dental practice activities,8620,86.21Z
Other human health activities,8690,86.90A
Residential nursing care facilities,8710,87.10A
"Residential care activities for mental retardation, mental health and substance abuse",8720,87.20A
Residential care activities for the elderly and disabled,8730,87.30A
Other residential care activities,8790,87.90A
Social work activities without accommodation for the elderly and disabled,8810,88.10A
Other social work activities without accommodation,8890,88.91
"Creative, arts and entertainment activities",9000,90.01Z
Library and archives activities,9101,91.01Z
Museums activities and operation of historical sites and buildings,9102,91.02Z
Botanical and zoological gardens and nature reserves activities,9103,91.04Z
Gambling and betting activities,9200,92.00Z
Operation of sports facilities,9311,93.11Z
Activities of sports clubs,9312,93.12Z
Other sports activities,9319,93.19Z
Activities of amusement parks and theme parks,9321,93.21Z
Other amusement and recreation activities n.e.c.,9329,93.29Z
Activities of business and employers membership organizations,9411,94.11Z
Activities of professional membership organizations,9412,94.12Z
Activities of trade unions,9420,94.20Z
Activities of religious organizations,9491,94.91Z
Activities of political organizations,9492,94.92Z
Activities of other membership organizations n.e.c.,9499,94.99Z
Repair of computers and peripheral equipment,9511,95.11Z
Repair of communication equipment,9512,95.12Z
Repair of consumer electronics,9521,95.21Z
Repair of household appliances and home and garden equipment,9522,95.22Z
Repair of footwear and leather goods,9523,95.23Z
Repair of furniture and home furnishings,9524,95.24Z
Repair of other personal and household goods,9529,95.25Z
Washing and (dry-) cleaning of textile and fur products,9601,96.01A
Hairdressing and other beauty treatment,9602,96.02A
Funeral and related activities,9603,96.03Z
Activities of households as employers of domestic personnel,9700,97.00Z
Undifferentiated goods-producing activities of private households for own use,9810,98.10Z
Undifferentiated service-producing activities of private households for own use,9820,98.20Z
Activities of extraterritorial organizations and bodies,9900,99.00Z
Raising of cattle and buffaloes,0141,01.42
"Quarrying of stone, sand and clay",0810,08.12
Processing and preserving of meat,1010,10.12
Processing and preserving of fruit and vegetables,1030,10.32
Manufacture of vegetable and animal oils and fats,1040,10.41B
Manufacture of dairy products,1050,10.51B
Manufacture of grain mill products,1061,10.61B
Manufacture of bakery products,1071,10.71B
"Manufacture of cocoa, chocolate and sugar confectionery",1073,10.83
Manufacture of other food products n.e.c.,1079,10.84Z
Manufacture of prepared animal feeds,1080,10.92
Manufacture of wines,1102,11.02B
Manufacture of malt liquors and malt,1103,11.06
Manufacture of soft drinks; production of mineral waters and other bottled waters,1104,11.07B
"Manufacture of wearing apparel, except fur apparel",1410,14.12
Manufacture of knitted and crocheted apparel,1430,14.39
Sawmilling and planing of wood,1610,16.10B
Manufacture of veneer sheets and wood-based panels,1621,16.22
"Manufacture of pulp, paper and paperboard",1701,17.12
Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,1702,17.21B
Manufacture of other articles of paper and paperboard,1709,17.22Z
Printing,1811,18.12
Service activities related to printing,1812,18.14
Manufacture of basic chemicals,2011,20.12
Manufacture of plastics and synthetic rubber in primary forms,2013,20.17
"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",2023,20.42
Manufacture of other chemical products n.e.c.,2029,20.51
"Manufacture of pharmaceuticals, medicinal chemical and botanical products",2100,21.2
Manufacture of plastics products,2220,22.22
Manufacture of glass and glass products,2310,23.12
Manufacture of other porcelain and ceramic products,2393,23.32
"Manufacture of cement, lime and plaster",2394,23.51Z
"Manufacture of articles of concrete, cement and plaster",2395,23.61Z
"Cutting, shaping and finishing of stone",2396,23.70Z
Manufacture of other non-metallic mineral products n.e.c.,2399,23.91
Manufacture of basic precious and other non-ferrous metals,2420,24.4
Casting of metals,243,24.31Z
Casting of iron and steel,2431,24.52
Manufacture of structural metal products,2511,25.12
"Manufacture of steam generators, except central heating hot water boilers",2513,25.30Z
"Forging, pressing, stamping and roll-forming of metal; powder metallurgy",2591,25.50B
Treatment and coating of metals; machining,2592,25.61Z
"Manufacture of cutlery, hand tools and general hardware",2593,25.71Z
Manufacture of other fabricated metal products n.e.c.,2599,25.91
Manufacture of electronic components and boards,2610,26.12
"Manufacture of measuring, testing, navigating and control equipment",2651,26.51B
"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",2710,27.12
Manufacture of domestic appliances,2750,27.52
"Manufacture of other pumps, compressors, taps and valves",2813,28.14
Manufacture of other general-purpose machinery,2819,28.25Z
Manufacture of metal-forming machinery and machine tools,2822,28.49
Manufacture of other special-purpose machinery,2829,28.95Z
Manufacture of parts and accessories for motor vehicles,2930,29.32
Manufacture of furniture,3100,31.02
Other manufacturing,32,32.11
Manufacture of medical and dental instruments and supplies,3250,32.50B
Other manufacturing n.e.c.,3290,32.91Z
"Repair of transport equipment, except motor vehicles",3315,33.16
Installation of industrial machinery and equipment,3320,33.20B
"Electric power generation, transmission and distribution",3510,35.12
Manufacture of gas; distribution of gaseous fuels through mains,3520,35.22
Materials recovery,3830,38.32
Construction of buildings,4100,41.10B
Construction of roads and railways,4210,42.12
Construction of utility projects,4220,42.21Z
Construction of other civil engineering projects,4290,42.91Z
Site preparation,4312,43.12B
Electrical installation,4321,43.21B
"Plumbing, heat and air-conditioning installation",4322,43.22B
Other construction installation,4329,43.29B
Building completion and finishing,4330,43.32
Other specialized construction activities,4390,43.91B
Sale of motor vehicles,4510,45.19
Maintenance and repair of motor vehicles,4520,45.20B
Sale of motor vehicle parts and accessories,4530,45.32
Wholesale on a fee or contract basis,4610,46.12
Wholesale of agricultural raw materials and live animals,4620,46.22
"Wholesale of food, beverages and tobacco",4630,46.32
"Wholesale of textiles, clothing and footwear",4641,46.42
Wholesale of other machinery and equipment,4659,46.62
"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",4663,46.73B
"Retail sale in non-specialized stores with food, beverages or tobacco predominating",4711,47.11B
Other retail sale in non-specialized stores,4719,47.19B
Retail sale of food in specialized stores,4721,47.22
"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores",4741,47.42
"Retail sale of hardware, paints and glass in specialized stores",4752,47.52B
"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores",4759,47.59
"Retail sale of books, newspapers and stationary in specialized stores",4761,47.62
"Retail sale of clothing, footwear and leather articles in specialized stores",4771,47.72
"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores",4772,47.74
Other retail sale of new goods in specialized stores,4773,47.78B
Retail sale via mail order houses or via Internet,4791,47.91B
"Other retail sale not in stores, stalls or markets",4799,47.99B
Urban and suburban passenger land transport,4921,49.32
Other passenger land transport,4922,49.39B
Freight transport by road,4923,49.41B
Freight air transport,5120,51.22
