description,iSIC_code,naf_code
Reproduction of recorded media,1820,18.20
Manufacture of coke and refined petroleum products,19,19
Manufacture of coke oven products,191,19.1
Manufacture of coke oven products,1910,19.10
Manufacture of refined petroleum products,192,19.2
Manufacture of refined petroleum products,1920,19.20
Manufacture of chemicals and chemical products,20,20
"Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms",201,20.1
Manufacture of basic chemicals,2011,20.11
Manufacture of fertilizers and nitrogen compounds,2012,20.15
Manufacture of plastics and synthetic rubber in primary forms,2013,20.16
Manufacture of other chemical products,202,20.59
Manufacture of pesticides and other agrochemical products,2021,20.20
"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",2022,20.30
"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",2023,20.41
Manufacture of other chemical products n.e.c.,2029,20.59
Manufacture of man-made fibres,203,20.6
Manufacture of man-made fibres,2030,20.60
Manufacture of basic pharmaceutical products and pharmaceutical preparations,21,21
"Manufacture of pharmaceuticals, medicinal chemical and botanical products",210,21.1
"Manufacture of pharmaceuticals, medicinal chemical and botanical products",2100,21.10
Manufacture of rubber and plastics products,22,22
Manufacture of rubber products,221,22.1
Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres,2211,22.11
Manufacture of other rubber products,2219,22.19
Manufacture of plastics products,222,22.2
Manufacture of plastics products,2220,22.21
Manufacture of other non-metallic mineral products,23,23.99
Manufacture of glass and glass products,231,23.1
Manufacture of glass and glass products,2310,23.11
Manufacture of refractory products,2391,23.20
Manufacture of clay building materials,2392,23.3
Manufacture of other porcelain and ceramic products,2393,23.31
"Manufacture of cement, lime and plaster",2394,23.5
"Manufacture of articles of concrete, cement and plaster",2395,23.6
"Cutting, shaping and finishing of stone",2396,23.70
Manufacture of other non-metallic mineral products n.e.c.,2399,23.99
Manufacture of basic metals,24,24
Manufacture of basic iron and steel,241,24.1
Manufacture of basic iron and steel,2410,24.10
Manufacture of basic precious and other non-ferrous metals,242,24.2
Manufacture of basic precious and other non-ferrous metals,2420,24.20
Casting of metals,243,24.3
Casting of iron and steel,2431,24.51
Casting of non-ferrous metals,2432,24.54
"Manufacture of fabricated metal products, except machinery and equipment",25,25
"Manufacture of structural metal products, tanks, reservoirs and steam generators",251,25.1
Manufacture of structural metal products,2511,25.11
"Manufacture of tanks, reservoirs and containers of metal",2512,25.29
"Manufacture of steam generators, except central heating hot water boilers",2513,25.30
Manufacture of weapons and ammunition,252,25.4
Manufacture of weapons and ammunition,2520,25.40
Manufacture of other fabricated metal products; metalworking service activities,259,25.5
"Forging, pressing, stamping and roll-forming of metal; powder metallurgy",2591,25.50
Treatment and coating of metals; machining,2592,25.6
"Manufacture of cutlery, hand tools and general hardware",2593,25.7
Manufacture of other fabricated metal products n.e.c.,2599,25.99
"Manufacture of computer, electronic and optical products",26,26
Manufacture of electronic components and boards,261,26.1
Manufacture of electronic components and boards,2610,26.11
Manufacture of computers and peripheral equipment,262,26.2
Manufacture of computers and peripheral equipment,2620,26.20
Manufacture of communication equipment,263,26.3
Manufacture of communication equipment,2630,26.30
Manufacture of consumer electronics,264,26.4
Manufacture of consumer electronics,2640,26.40
"Manufacture of measuring, testing, navigating and control equipment; watches and clocks",265,26.5
"Manufacture of measuring, testing, navigating and control equipment",2651,26.51
Manufacture of watches and clocks,2652,26.52
"Manufacture of irradiation, electromedical and electrotherapeutic equipment",266,26.6
"Manufacture of irradiation, electromedical and electrotherapeutic equipment",2660,26.60
Manufacture of optical instruments and photographic equipment,267,26.7
Manufacture of optical instruments and photographic equipment,2670,26.70
Manufacture of magnetic and optical media,268,26.8
Manufacture of magnetic and optical media,2680,26.80
Manufacture of electrical equipment,27,27
"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",271,27.1
"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",2710,27.11
Manufacture of batteries and accumulators,272,27.2
Manufacture of batteries and accumulators,2720,27.20
Manufacture of wiring and wiring devices,273,27.3
